From	To
PR5A1_MOUSE	Prl5a1
SOX4_MOUSE	Sox4
CDKAL_MOUSE	Cdkal1
LARP1_MOUSE	Larp1
E2F3_MOUSE	E2f3
MBOA1_MOUSE	Mboat1
AGTRA_MOUSE	Agtr1a
UCRI_MOUSE	Uqcrfs1
DUS22_MOUSE	Dusp22
IRF4_MOUSE	Irf4
EXOC2_MOUSE	Exoc2
HUS1B_MOUSE	Hus1b
RL23A_MOUSE	Rpl23a
FOXQ1_MOUSE	Foxq1
FOXF2_MOUSE	Foxf2
FOXC1_MOUSE	Foxc1
GMDS_MOUSE	Gmds
MYLK4_MOUSE	Mylk4
WRIP1_MOUSE	Wrnip1
ILEUA_MOUSE	Serpinb1a
SPB8_MOUSE	Serpinb8
SPB6_MOUSE	Serpinb6
NQO2_MOUSE	Nqo2
RIPK1_MOUSE	Ripk1
TBB2B_MOUSE	Tubb2b
PSMG4_MOUSE	Psmg4
S22AN_MOUSE	Slc22a23
PXDC1_MOUSE	Pxdc1
FA50B_MOUSE	Fam50b
PRP4B_MOUSE	Prpf4b
F217A_MOUSE	Fam217a
ECI2_MOUSE	Eci2
TAF11_MOUSE	Taf11
CDYL_MOUSE	Cdyl
RPP40_MOUSE	Rpp40
PP13G_MOUSE	Ppp1r3g
LYRM4_MOUSE	Lyrm4
SYFM_MOUSE	Fars2
NRN1_MOUSE	Nrn1
F13A_MOUSE	F13a1
LY86_MOUSE	Ly86
RL7_MOUSE	Rpl7
RREB1_MOUSE	Rreb1
SSRA_MOUSE	Ssr1
CAGE1_MOUSE	Cage1
RIOK1_MOUSE	Riok1
DESP_MOUSE	Dsp
SNR48_MOUSE	Snrnp48
BMP6_MOUSE	Bmp6
TXND5_MOUSE	Txndc5
BL1S5_MOUSE	Bloc1s5
MCA3_MOUSE	Eef1e1
S35B3_MOUSE	Slc35b3
OFCC1_MOUSE	Ofcc1
AP2A_MOUSE	Tfap2a
GCNT2_MOUSE	Gcnt2
PK1IP_MOUSE	Pak1ip1
TM14C_MOUSE	Tmem14c
MAK_MOUSE	Mak
GCM2_MOUSE	Gcm2
SYC2L_MOUSE	Sycp2l
ELOV2_MOUSE	Elovl2
SIM13_MOUSE	Smim13
CASL_MOUSE	Nedd9
T170B_MOUSE	Tmem170b
ADTRP_MOUSE	Adtrp
ZEP1_MOUSE	Hivep1
EDN1_MOUSE	Edn1
PHAR1_MOUSE	Phactr1
TBCD7_MOUSE	Tbc1d7
GFOD1_MOUSE	Gfod1
SIR5_MOUSE	Sirt5
NOL7_MOUSE	Nol7
RANB9_MOUSE	Ranbp9
MCUR1_MOUSE	Mcur1
RN182_MOUSE	Rnf182
CD83_MOUSE	Cd83
JARD2_MOUSE	Jarid2
DTBP1_MOUSE	Dtnbp1
NR5A2_MOUSE	Nr5a2
MYLIP_MOUSE	Mylip
GMPR1_MOUSE	Gmpr
ATX1_MOUSE	Atxn1
STMD1_MOUSE	Stmnd1
RBM24_MOUSE	Rbm24
CAP2_MOUSE	Cap2
KI13A_MOUSE	Kif13a
NHLC1_MOUSE	Nhlrc1
TPMT_MOUSE	Tpmt
P33MX_MOUSE	P33monox
KDM1B_MOUSE	Kdm1b
DEK_MOUSE	Dek
R144B_MOUSE	Rnf144b
ID4_MOUSE	Id4
ZN184_MOUSE	Zfp184
PTPC1_MOUSE	Ptpdc1
BARX1_MOUSE	Barx1
PHF2_MOUSE	Phf2
F120A_MOUSE	FAM120A
WNK2_MOUSE	Wnk2
NINJ1_MOUSE	Ninj1
CAR19_MOUSE	Card19
FGD3_MOUSE	Fgd3
BICD2_MOUSE	Bicd2
IPPK_MOUSE	Ippk
CENPP_MOUSE	Cenpp
ECM2_MOUSE	Ecm2
MIME_MOUSE	Ogn
SYIC_MOUSE	Iars
NUTM2_MOUSE	Nutm2
SPIN1_MOUSE	Spin1
NXNL2_MOUSE	Nxnl2
S1PR3_MOUSE	S1pr3
SHC3_MOUSE	Shc3
CKS2_MOUSE	Cks2
SEM4D_MOUSE	Sema4d
GA45G_MOUSE	Gadd45g
DIRA2_MOUSE	Diras2
KSYK_MOUSE	Syk
AUHM_MOUSE	Auh
NFIL3_MOUSE	Nfil3
ROR2_MOUSE	Ror2
RS12_MOUSE	Rps12
SPTC1_MOUSE	Sptlc1
MSX2_MOUSE	Msx2
DRD1_MOUSE	Drd1
SFXN1_MOUSE	Sfxn1
RLA0_MOUSE	Rplp0
HRH2_MOUSE	Hrh2
CPLX2_MOUSE	Cplx2
THOC3_MOUSE	Thoc3
ARL10_MOUSE	Arl10
NOP16_MOUSE	Nop16
HIG2A_MOUSE	Higd2a
CLCB_MOUSE	Cltb
FAF2_MOUSE	Faf2
RNF44_MOUSE	Rnf44
ZN322_MOUSE	Znf322
ABT1_MOUSE	Abt1
BT1A1_MOUSE	Btn1a1
BT2A2_MOUSE	Btn2a2
H4_MOUSE	Hist1h4a
H4_MOUSE	Hist1h4b
H4_MOUSE	Hist1h4c
H4_MOUSE	Hist1h4d
H4_MOUSE	Hist1h4f
H4_MOUSE	Hist1h4h
H4_MOUSE	Hist1h4i
H4_MOUSE	Hist1h4j
H4_MOUSE	Hist1h4k
H4_MOUSE	Hist1h4m
H4_MOUSE	Hist2h4a
H4_MOUSE	Hist4h4
H2B1M_MOUSE	Hist1h2bm
H2A1P_MOUSE	Hist1h2ap
H31_MOUSE	Hist1h3a
H31_MOUSE	Hist1h3g
H31_MOUSE	Hist1h3h
H31_MOUSE	Hist1h3i
H2B1C_MOUSE	Hist1h2bc
H2B1C_MOUSE	Hist1h2be
H2B1C_MOUSE	Hist1h2bg
H32_MOUSE	Hist1h3b
H32_MOUSE	Hist1h3c
H32_MOUSE	Hist1h3d
H32_MOUSE	Hist1h3e
H32_MOUSE	Hist1h3f
H32_MOUSE	Hist2h3b
H32_MOUSE	Hist2h3c1
H32_MOUSE	Hist2h3c2
H14_MOUSE	Hist1h1e
H1T_MOUSE	Hist1h1t
HFE_MOUSE	Hfe
H12_MOUSE	Hist1h1c
H11_MOUSE	Hist1h1a
NPT1_MOUSE	Slc17a1
S17A4_MOUSE	Slc17a4
H2B1A_MOUSE	Hist1h2ba
H2A3_MOUSE	Hist3h2a
RL36A_MOUSE	Rpl36a
SEGN_MOUSE	Scgn
CARL1_MOUSE	Carmil1
TAF10_MOUSE	Taf10
CMAH_MOUSE	Cmah
RIPR2_MOUSE	Ripor2
GEMI_MOUSE	Gmnn
V1R51_MOUSE	Vmn1r51
V1R50_MOUSE	Vmn1r50
H2B2B_MOUSE	Hist2h2bb
TSSP_MOUSE	Prss16
H15_MOUSE	Hist1h1b
H2A1H_MOUSE	Hist1h2ah
OLF11_MOUSE	Olfr11
OLF15_MOUSE	Olfr15
ZKSC1_MOUSE	Zkscan1
ZKSC3_MOUSE	Zkscan3
NKAPL_MOUSE	Nkapl
ZSC26_MOUSE	Zscan26
ZNF24_MOUSE	Znf24
ZSC12_MOUSE	Zscan12
GPX6_MOUSE	Gpx6
GPX5_MOUSE	Gpx5
TRI27_MOUSE	Trim27
AOAH_MOUSE	Aoah
ELMO1_MOUSE	Elmo1
ATP5I_MOUSE	Atp5me
GP141_MOUSE	Gpr141
TXND3_MOUSE	Nme8
SFRP4_MOUSE	Sfrp4
EPDR1_MOUSE	Epdr1
SUMO2_MOUSE	Sumo2
STR3N_MOUSE	Stard3nl
AMPH_MOUSE	Amph
VPS41_MOUSE	Vps41
PO6F2_MOUSE	Pou6f2
RALA_MOUSE	Rala
CDK13_MOUSE	Cdk13
SUCHY_MOUSE	Sugct
F264_MOUSE	Pfkfb4
INHBA_MOUSE	Inhba
GLI3_MOUSE	Gli3
GNAI3_MOUSE	Gnai3
RL37A_MOUSE	Rpl37a
PSA2_MOUSE	Psma2
HECW1_MOUSE	Hecw1
ARI4B_MOUSE	Arid4b
GGPPS_MOUSE	Ggps1
TBCE_MOUSE	Tbce
B3GL2_MOUSE	B3galnt2
GBG4_MOUSE	Gng4
LYST_MOUSE	Lyst
NID1_MOUSE	Nid1
G137B_MOUSE	Gpr137b
ERO1B_MOUSE	Ero1b
EDAD_MOUSE	Edaradd
ACTN1_MOUSE	Actn1
METH_MOUSE	Mtr
RYR2_MOUSE	Ryr2
ZP1_MOUSE	Zp1
ACM3_MOUSE	Chrm3
ZMY11_MOUSE	Zmynd11
DIP2A_MOUSE	Dip2a
MXI1_MOUSE	Mxi1
LAR4B_MOUSE	Larp4b
NOG1_MOUSE	Gtpbp4
IDI2_MOUSE	Idi2
WDR37_MOUSE	Wdr37
RED2_MOUSE	Adarb2
PFKAP_MOUSE	Pfkp
PREP_MOUSE	Pitrm1
KLF6_MOUSE	Klf6
AKCL2_MOUSE	Akr1e2
AK1CL_MOUSE	Akr1c21
DHB5_MOUSE	Akr1c6
AK1CD_MOUSE	Akr1c13
SC61G_MOUSE	Sec61g
AKC1H_MOUSE	Akr1c18
UCN3_MOUSE	Ucn3
TBAL3_MOUSE	Tubal3
ARHG8_MOUSE	Net1
CALM4_MOUSE	Calm4
CALL3_MOUSE	Calml3
ASB13_MOUSE	Asb13
GDIB_MOUSE	Gdi2
ANR16_MOUSE	Ankrd16
FBH1_MOUSE	Fbh1
I15RA_MOUSE	Il15ra
IL2RA_MOUSE	Il2ra
SPF45_MOUSE	Rbm17
F262_MOUSE	Pfkfb2
SON_MOUSE	Son
KPCD_MOUSE	Prkcd
SMBT2_MOUSE	Sfmbt2
ITIH2_MOUSE	Itih2
KIN17_MOUSE	Kin
ATPG_MOUSE	Atp5f1c
TAF3_MOUSE	Taf3
GATA3_MOUSE	Gata3
CELF2_MOUSE	Celf2
US6NL_MOUSE	Usp6nl
ECHD3_MOUSE	Echdc3
AT2L1_MOUSE	Etnppl
PRSR2_MOUSE	Proser2
DHTK1_MOUSE	Dhtkd1
NUDT5_MOUSE	Nudt5
CD123_MOUSE	Cdc123
KCC1D_MOUSE	Camk1d
CCDC3_MOUSE	Ccdc3
OPTN_MOUSE	Optn
MCM10_MOUSE	Mcm10
SPS1_MOUSE	Sephs1
N4BP1_MOUSE	N4bp1
BEND7_MOUSE	Bend7
PRP18_MOUSE	Prpf18
FRM4A_MOUSE	Frmd4a
F107B_MOUSE	Fam107b
CDNF_MOUSE	Cdnf
HSP7E_MOUSE	Hspa14
ZSC20_MOUSE	Zscan20
SUV92_MOUSE	Suv39h2
DCR1C_MOUSE	Dclre1c
MEIG1_MOUSE	Meig1
MESD_MOUSE	Mesd
SAST_MOUSE	Olah
RPP38_MOUSE	Rpp38
NMT2_MOUSE	Nmt2
F1712_MOUSE	Fam171a2
ITA8_MOUSE	Itga8
MINY3_MOUSE	MINDY3
AGAP1_MOUSE	Agap1
PTER_MOUSE	Pter
C1QL3_MOUSE	C1ql3
RSU1_MOUSE	Rsu1
CUBN_MOUSE	Cubn
TRDMT_MOUSE	Trdmt1
VIME_MOUSE	Vim
SIA8F_MOUSE	St8sia6
HACD1_MOUSE	Hacd1
STAM1_MOUSE	Stam
MRC1_MOUSE	Mrc1
S39AC_MOUSE	Slc39a12
CACB2_MOUSE	Cacnb2
NSUN6_MOUSE	Nsun6
ARL5B_MOUSE	Arl5b
RL27_MOUSE	Rpl27
MALR1_MOUSE	Malrd1
PXDC2_MOUSE	Plxdc2
ROA1_MOUSE	Hnrnpa1
NEBL_MOUSE	Nebl
LNEBL_MOUSE	Nebl
TMA7_MOUSE	Tma7
SKDA1_MOUSE	Skida1
AF10_MOUSE	Mllt10
DNJC1_MOUSE	Dnajc1
RM22_MOUSE	Mrpl22
BMI1_MOUSE	Bmi1
SPAG6_MOUSE	Spag6
PI42A_MOUSE	Pip4k2a
ARMC3_MOUSE	Armc3
UPP1_MOUSE	Upp1
PTF1A_MOUSE	Ptf1a
PRDX1_MOUSE	Prdx1
OTUD1_MOUSE	Otud1
RL24_MOUSE	Rpl24
SKT_MOUSE	Skt
RHG21_MOUSE	Arhgap21
HPRT_MOUSE	Hprt1
ENKUR_MOUSE	Enkur
THNS1_MOUSE	Thnsl1
GP158_MOUSE	Gpr158
MYO3A_MOUSE	Myo3a
DCE2_MOUSE	Gad2
AB1IP_MOUSE	Apbb1ip
DPS1_MOUSE	Pdss1
ABI1_MOUSE	Abi1
ACBD5_MOUSE	Acbd5
GWL_MOUSE	Mastl
YMEL1_MOUSE	Yme1l1
TCPZ_MOUSE	Cct6a
ANR26_MOUSE	Ankrd26
RT26_MOUSE	Mrps26
ANKR7_MOUSE	Ankrd7
CREM_MOUSE	Crem
CUL2_MOUSE	Cul2
BAMBI_MOUSE	Bambi
LYZL1_MOUSE	Lyzl1
M3K8_MOUSE	Map3k8
PAPD1_MOUSE	Mtpap
JCAD_MOUSE	Jcad
SVIL_MOUSE	Svil
ZEB1_MOUSE	Zeb1
RHG12_MOUSE	Arhgap12
KINH_MOUSE	Kif5b
EPC1_MOUSE	Epc1
RL10A_MOUSE	Rpl10a
RAB18_MOUSE	Rab18
MKX_MOUSE	Mkx
ARMC4_MOUSE	Armc4
MPP7_MOUSE	Mpp7
RS15A_MOUSE	Rps15a
WAC_MOUSE	Wac
NXNL1_MOUSE	Nxnl1
TEAD2_MOUSE	Tead2
AT8B3_MOUSE	Atp8b3
DYH5_MOUSE	Dnah5
OL998_MOUSE	Olfr998
O1009_MOUSE	Olfr1009
FS2P1_MOUSE	Fads2p1
LRC55_MOUSE	Lrrc55
APJ_MOUSE	Aplnr
TB182_MOUSE	Tnks1bp1
P2RX3_MOUSE	P2rx3
PRG3_MOUSE	Prg3
S43A3_MOUSE	Slc43a3
R4RL2_MOUSE	Rtn4rl2
LAT3_MOUSE	Slc43a1
TIM10_MOUSE	Timm10
SMTL1_MOUSE	Smtnl1
UB2L6_MOUSE	Ube2l6
IC1_MOUSE	Serping1
CLP1_MOUSE	Clp1
ZDHC5_MOUSE	Zdhhc5
MED19_MOUSE	Med19
TMX2_MOUSE	Tmx2
BTBDI_MOUSE	Btbd18
CTND1_MOUSE	Ctnnd1
TFPI1_MOUSE	Tfpi
CALRL_MOUSE	Calcrl
ZSWM2_MOUSE	Zswim2
F171B_MOUSE	Fam171b
ITAV_MOUSE	Itgav
FSIP2_MOUSE	Fsip2
NUP35_MOUSE	Nup35
NCKP1_MOUSE	Nckap1
SFRP3_MOUSE	Frzb
DJC10_MOUSE	Dnajc10
PDE1A_MOUSE	Pde1a
PPR1C_MOUSE	Ppp1r1c
ITPI2_MOUSE	Itprid2
NDF1_MOUSE	Neurod1
CERK1_MOUSE	Cerk
ITA4_MOUSE	Itga4
RSSA_MOUSE	Rpsa
UB2E3_MOUSE	Ube2e3
CWC22_MOUSE	Cwc22
Z385B_MOUSE	Znf385b
SESD1_MOUSE	Sestd1
TRIO_MOUSE	Trio
TITIN_MOUSE	Ttn
PKHA3_MOUSE	Plekha3
FKBP7_MOUSE	Fkbp7
PJVK_MOUSE	Pjvk
PRKRA_MOUSE	Prkra
OSBL6_MOUSE	Osbpl6
RBM45_MOUSE	Rbm45
CYC2_MOUSE	Cyct
PDE11_MOUSE	Pde11a
T30A1_MOUSE	Ttc30a1
TT30B_MOUSE	Ttc30b
ADAS_MOUSE	Agps
NF2L2_MOUSE	Nfe2l2
ROA3_MOUSE	Hnrnpa3
MTX2_MOUSE	Mtx2
HXD1_MOUSE	Hoxd1
HXD3_MOUSE	Hoxd3
HXD4_MOUSE	Hoxd4
HXD8_MOUSE	Hoxd8
HXD9_MOUSE	Hoxd9
HXD10_MOUSE	Hoxd10
HXD11_MOUSE	Hoxd11
HXD12_MOUSE	Hoxd12
HXD13_MOUSE	Hoxd13
EVX2_MOUSE	Evx2
LNP_MOUSE	Lnpk
AT5G3_MOUSE	Atp5mc3
SPTN1_MOUSE	Sptan1
ATF2_MOUSE	Atf2
CHIN_MOUSE	Chn1
ACHA_MOUSE	Chrna1
WIPF1_MOUSE	Wipf1
DPTOR_MOUSE	Deptor
SCRN3_MOUSE	Scrn3
CIR1_MOUSE	Cir1
SP9_MOUSE	Sp9
OLA1_MOUSE	Ola1
CDC5L_MOUSE	Cdc5l
SP3_MOUSE	Sp3
CDCA7_MOUSE	Cdca7
M3K20_MOUSE	Map3k20
RPGF4_MOUSE	Rapgef4
PDK1_MOUSE	Pdk1
ITA6_MOUSE	Itga6
DLX2_MOUSE	Dlx2
MAP12_MOUSE	Metap1d
HAT1_MOUSE	Hat1
CMC1_MOUSE	Slc25a12
DC1I2_MOUSE	Dync1i2
CYBR1_MOUSE	Cybrd1
DCA17_MOUSE	Dcaf17
METL8_MOUSE	Mettl8
FBXW2_MOUSE	Fbxw2
TLK1_MOUSE	Tlk1
GORS2_MOUSE	Gorasp2
DCE1_MOUSE	Gad1
SP5_MOUSE	Sp5
MYO3B_MOUSE	Myo3b
UBR3_MOUSE	Ubr3
METL5_MOUSE	Mettl5
LA_MOUSE	Ssb
KLH23_MOUSE	Klhl23
CC173_MOUSE	Ccdc173
PPIG_MOUSE	Ppig
FAKD1_MOUSE	Fastkd1
KLH41_MOUSE	Klhl41
COF2_MOUSE	Cfl2
LRP2_MOUSE	Lrp2
DHRS9_MOUSE	Dhrs9
ABCBB_MOUSE	Abcb11
NOSTN_MOUSE	Nostrin
CERS6_MOUSE	Cers6
RUXE_MOUSE	Snrpe
STK39_MOUSE	Stk39
B3GT1_MOUSE	B3galt1
XIRP2_MOUSE	Xirp2
SCN9A_MOUSE	Scn9a
SCN1A_MOUSE	Scn1a
TT21B_MOUSE	Ttc21b
GALT3_MOUSE	Galnt3
CSRN3_MOUSE	Csrnp3
SCN3A_MOUSE	Scn3a
RL19_MOUSE	Rpl19
S38AB_MOUSE	Slc38a11
RL18_MOUSE	Rpl18
COBL1_MOUSE	Cobll1
LRP1B_MOUSE	Lrp1b
TBC20_MOUSE	Tbc1d20
GRB14_MOUSE	Grb14
LSM3_MOUSE	Lsm3
FIGN_MOUSE	Fign
KCNH7_MOUSE	Kcnh7
GRAN_MOUSE	Gca
IFIH1_MOUSE	Ifih1
SEPR_MOUSE	Fap
DPP4_MOUSE	Dpp4
S4A10_MOUSE	Slc4a10
TBR1_MOUSE	Tbr1
PSDE_MOUSE	Psmd14
TANK_MOUSE	Tank
RBMS1_MOUSE	Rbms1
ITB6_MOUSE	Itgb6
PLA2R_MOUSE	Pla2r1
LY75_MOUSE	Ly75
CD302_MOUSE	Cd302
MARH7_MOUSE	March7
BAZ2A_MOUSE	Baz2a
WSDU1_MOUSE	Wdsub1
TANC1_MOUSE	Tanc1
DAPL1_MOUSE	Dapl1
PKP4_MOUSE	Pkp4
CC148_MOUSE	Ccdc148
UPP2_MOUSE	Upp2
ACVR1_MOUSE	Acvr1
ACV1C_MOUSE	Acvr1c
CYTIP_MOUSE	Cytip
ERMIN_MOUSE	Ermn
GALT5_MOUSE	Galnt5
GPDM_MOUSE	Gpd2
NR4A2_MOUSE	Nr4a2
KCNJ3_MOUSE	Kcnj3
GLT13_MOUSE	Galnt13
RPRM_MOUSE	Rprm
CSN9_MOUSE	Cops9
AR6P6_MOUSE	Arl6ip6
PR40A_MOUSE	Prpf40a
FMNL2_MOUSE	Fmnl2
STAM2_MOUSE	Stam2
CACB4_MOUSE	Cacnb4
ARL5A_MOUSE	Arl5a
NRAP_MOUSE	Nrap
RIF1_MOUSE	Rif1
TSG6_MOUSE	Tnfaip6
ERH_MOUSE	Erh
NMI_MOUSE	Nmi
RBM43_MOUSE	Rbm43
PLPHP_MOUSE	Plpbp
TR134_MOUSE	Tas2r134
RND3_MOUSE	Rnd3
MMAD_MOUSE	Mmadhc
LYPD6_MOUSE	Lypd6
KIF5C_MOUSE	Kif5c
EPC2_MOUSE	Epc2
MBD5_MOUSE	Mbd5
K2C6A_MOUSE	Krt6a
ORC4_MOUSE	Orc4
AVR2A_MOUSE	Acvr2a
RS27L_MOUSE	Rps27l
RS3_MOUSE	Rps3
ZEB2_MOUSE	Zeb2
GTDC1_MOUSE	Gtdc1
RHG15_MOUSE	Arhgap15
KYNU_MOUSE	Kynu
NXPH2_MOUSE	Nxph2
SPOPL_MOUSE	Spopl
HNMT_MOUSE	Hnmt
TBPL2_MOUSE	Tbpl2
IL36G_MOUSE	Il36g
IL36A_MOUSE	Il36a
IL36B_MOUSE	Il36b
I36RA_MOUSE	IL36RN
IL1FA_MOUSE	Il1f10
PSD4_MOUSE	Psd4
PAX8_MOUSE	Pax8
CAC1B_MOUSE	Cacna1b
EHMT1_MOUSE	Ehmt1
ZMY19_MOUSE	Zmynd19
DPH7_MOUSE	Dph7
RM41_MOUSE	Mrpl41
PLPL7_MOUSE	Pnpla7
NSMF_MOUSE	Nsmf
ENTP8_MOUSE	Entpd8
NOXA1_MOUSE	Noxa1
NRARP_MOUSE	Nrarp
NELFB_MOUSE	Nelfb
F166A_MOUSE	Fam166a
TBB4B_MOUSE	Tubb4b
NPT2C_MOUSE	Slc34a3
CRTP1_MOUSE	Cysrt1
RN208_MOUSE	Rnf208
NDOR1_MOUSE	Ndor1
TM203_MOUSE	Tmem203
TPRN_MOUSE	Tprn
SSNA1_MOUSE	Ssna1
ANC2_MOUSE	Anapc2
LRC26_MOUSE	Lrrc26
NMDZ1_MOUSE	Grin1
MA1B1_MOUSE	Man1b1
DPP2_MOUSE	Dpp7
UAP1L_MOUSE	Uap1l1
SAPC2_MOUSE	Sapcd2
ENTP2_MOUSE	Entpd2
NPDC1_MOUSE	Npdc1
FUT7_MOUSE	Fut7
ABCA2_MOUSE	Abca2
PAXX_MOUSE	Paxx
OLF3_MOUSE	Olfr3
OLF12_MOUSE	Olfr12
O1019_MOUSE	Olfr1019
PHLP_MOUSE	Pdcl
RC3H2_MOUSE	Rc3h2
ZBTB6_MOUSE	Zbtb6
RBGP1_MOUSE	Rabgap1
GPR21_MOUSE	Gpr21
STRBP_MOUSE	Strbp
CRUM2_MOUSE	Crb2
DEN1A_MOUSE	Dennd1a
LHX2_MOUSE	Lhx2
NEK6_MOUSE	Nek6
STF1_MOUSE	Nr5a1
OLM2A_MOUSE	Olfml2a
WDR38_MOUSE	Wdr38
ARP5L_MOUSE	Arpc5l
GOGA1_MOUSE	Golga1
SCAI_MOUSE	Scai
PPP6_MOUSE	Ppp6c
OLF50_MOUSE	Olfr50
OLF24_MOUSE	Olfr24
CDK8_MOUSE	Cdk8
PGH1_MOUSE	Ptgs1
RBM18_MOUSE	Rbm18
LHX6_MOUSE	Lhx6
MORN5_MOUSE	Morn5
NDUA8_MOUSE	Ndufa8
DYN1_MOUSE	Dnm1
TTL11_MOUSE	Ttll11
DAB2P_MOUSE	Dab2ip
GGTA1_MOUSE	Ggta1
GTA1L_MOUSE	Ggta1l1
STOM_MOUSE	Stom
GELS_MOUSE	Gsn
RAB14_MOUSE	Rab14
CNTRL_MOUSE	Cntrl
CO5_MOUSE	C5
TRAF1_MOUSE	Traf1
PHF19_MOUSE	Phf19
CUTA_MOUSE	Cuta
PSMD5_MOUSE	Psmd5
RABEK_MOUSE	Rabepk
BIP_MOUSE	Hspa5
GAPD1_MOUSE	Gapvd1
SIN1_MOUSE	Mapkap1
PBX3_MOUSE	Pbx3
MB12B_MOUSE	Mvb12b
LMX1B_MOUSE	Lmx1b
WDR34_MOUSE	Wdr34
PKN3_MOUSE	Pkn3
ZDH12_MOUSE	Zdhhc12
ZER1_MOUSE	Zer1
TBC13_MOUSE	Tbc1d13
NUCG_MOUSE	Endog
KAT1_MOUSE	Kyat1
LRC8A_MOUSE	Lrrc8a
PHYD1_MOUSE	Phyhd1
DOLK_MOUSE	Dolk
NU188_MOUSE	Nup188
SHLB2_MOUSE	Sh3glb2
MIGA2_MOUSE	Miga2
DOPP1_MOUSE	Dolpp1
CACP_MOUSE	Crat
PTPA_MOUSE	Ptpa
IER5L_MOUSE	Ier5l
NTM1A_MOUSE	Ntmt1
ASB6_MOUSE	Asb6
PRRX2_MOUSE	Prrx2
PTGES_MOUSE	Ptges
TOR1B_MOUSE	Tor1b
TOR1A_MOUSE	Tor1a
UBP20_MOUSE	Usp20
FNBP1_MOUSE	Fnbp1
GP107_MOUSE	Gpr107
NCS1_MOUSE	Ncs1
HMCN2_MOUSE	Hmcn2
ASSY_MOUSE	Ass1
TF2H5_MOUSE	Gtf2h5
FUBP1_MOUSE	Fubp1
PRD12_MOUSE	Prdm12
EXOS2_MOUSE	Exosc2
ABL1_MOUSE	Abl1
FBCD1_MOUSE	Fibcd1
LAMC3_MOUSE	Lamc3
AIF1L_MOUSE	Aif1l
NU214_MOUSE	Nup214
FA78A_MOUSE	Fam78a
PLPP7_MOUSE	Plpp7
PRC2B_MOUSE	Prrc2b
POMT1_MOUSE	Pomt1
UCK1_MOUSE	Uck1
GOGA2_MOUSE	Golga2
RBM20_MOUSE	Rbm20
NGAL_MOUSE	Lcn2
PGES2_MOUSE	Ptges2
SCMC2_MOUSE	Slc25a25
NAIF1_MOUSE	Naif1
F102A_MOUSE	Fam102a
DPM2_MOUSE	Dpm2
PI5L1_MOUSE	Pip5kl1
SIA7D_MOUSE	St6galnac4
SIA7F_MOUSE	St6galnac6
KAD1_MOUSE	Ak1
EGLN_MOUSE	Eng
FOLC_MOUSE	Fpgs
CDK9_MOUSE	Cdk9
SH2D3_MOUSE	Sh2d3c
TOR2A_MOUSE	Tor2a
TTC16_MOUSE	Ttc16
CF157_MOUSE	Cfap157
STXB1_MOUSE	Stxbp1
NIBL1_MOUSE	Fam129b
LRSM1_MOUSE	Lrsam1
RL12_MOUSE	Rpl12
RS7_MOUSE	Rps7
GTR8_MOUSE	Slc2a8
GARL3_MOUSE	Garnl3
RGPS1_MOUSE	Ralgps1
ANGL2_MOUSE	Angptl2
RS27A_MOUSE	Rps27a
ZBT43_MOUSE	Zbtb43
GT253_MOUSE	Cercam
URM1_MOUSE	Urm1
SAMP_MOUSE	Apcs
S27A4_MOUSE	Slc27a4
COQ4_MOUSE	Coq4
TRUB2_MOUSE	Trub2
RGRF1_MOUSE	Rasgrf1
MED27_MOUSE	Med27
NTNG2_MOUSE	Ntng2
SETX_MOUSE	Setx
BARH1_MOUSE	Barhl1
DDX31_MOUSE	Ddx31
TF3C4_MOUSE	Gtf3c4
PROF1_MOUSE	Pfn1
KAD8_MOUSE	Ak8
SACA9_MOUSE	Spaca9
TSC1_MOUSE	Tsc1
GFI1B_MOUSE	Gfi1b
TF3C5_MOUSE	Gtf3c5
CEL_MOUSE	Cel
GBGT1_MOUSE	Gbgt1
PPR26_MOUSE	Ppp1r26
NOE1_MOUSE	Olfm1
FCN2_MOUSE	Fcn2
CO5A1_MOUSE	Col5a1
RXRA_MOUSE	Rxra
WDR5_MOUSE	Wdr5
BRD3_MOUSE	Brd3
ZMAT5_MOUSE	Zmat5
VAV2_MOUSE	Vav2
SARDH_MOUSE	Sardh
DOPO_MOUSE	Dbh
F163B_MOUSE	Fam163b
ATL2_MOUSE	Adamtsl2
MYMK_MOUSE	Mymk
FLOWR_MOUSE	Cacfd1
ATS13_MOUSE	Adamts13
REXO4_MOUSE	Rexo4
STKL1_MOUSE	Stkld1
SURF4_MOUSE	Surf4
SURF2_MOUSE	Surf2
SURF1_MOUSE	Surf1
MED22_MOUSE	Med22
SURF6_MOUSE	Surf6
BGAT_MOUSE	Abo
CNN3_MOUSE	Cnn3
VNS2_MOUSE	Lcn4
PLCB_MOUSE	Agpat2
EGFL7_MOUSE	Egfl7
NOTC1_MOUSE	Notch1
INP5E_MOUSE	Inpp5e
MPPA_MOUSE	Pmpca
SNPC4_MOUSE	Snapc4
DNLZ_MOUSE	Dnlz
GPSM1_MOUSE	Gpsm1
CC187_MOUSE	Ccdc187
QSOX2_MOUSE	Qsox2
LHX3_MOUSE	Lhx3
NACC2_MOUSE	Nacc2
UBAC1_MOUSE	Ubac1
PIHD1_MOUSE	Pih1d1
CAMP1_MOUSE	Camsap1
KCNT1_MOUSE	Kcnt1
SOLH1_MOUSE	Sohlh1
